ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity,
9781416600350,Understanding by Design,,"Grant Wiggins, Jay McTighe",ASCD Books,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxITEhUSExIVFRUXFxcVGBUVFRUVFRgXFRcXFxUXFRUYHSggGBolGxUVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGy0fHSUtLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0rLS0tLS0tLS0tK//AABEIAP8AxgMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAADBAACBQEGB//EAEIQAAEDAQQECgcHBAIDAQAAAAEAAhEDBBIhMQVBUWETInGBkZKhsdHwFTJTcsHS4QYUI0JSYrIWM3OCwvGTouJD/8QAGgEAAwEBAQEAAAAAAAAAAAAAAQIDBAAFBv/EACkRAAICAgEDBAICAwEAAAAAAAABAhEDITESEzIEIkFRkaFSYWJygiP/2gAMAwEAAhEDEQA/APXteYGJ6Va8dp6SqMyCu0L59t2aaOydp6SrtnaelQNRAxFWcVAO9Ea071ZjUVrU6sDKtaURrFYNRA1UUQWeI4Z36ndYqcM79TusfFVaMQN8dqbdYDJAOAwxBLsBMgQMFpVkhYV3fqd1j4qGu79busfFGOizhxmzqmdhOfIF30VMY7NRvY7oz3c6KRwDh3frd1j4qCu79busfFEZYQWl2I4xExLcBjEa/FdGjRLAfzXhhP5Wg4bZldRwLh3frd1j4qcM79TusfFHbo0ZzGJjA7J5zq3KPsRH5h248h1oNHFtGVXGtTlzjxhrK9hcC8bor+9T94L2iSQ0Qd1VLEaFUhIxxctQntTTwhPHnuUZXQyE3g7Uu6dp6SnXt896WeFnk2UQOzk3szlt5F1dojjcx+Ci0+mvoFnyUpjAIrQqURgORFaFFrbFLtCKBgq0wr0qgc2WuBBGBBzVIwb4BZamExTaNaAwowCqoNcoWywCuAuNCKNidI4wbV9ng5xcx90HG6RMHcZyQR9mne1HVPivSFsKQnQOlHnB9mHe1b1T4qf0y72o6p8V6RdARo7pR5sfZh3tR1T4rv8ASzvajqnxXpLq6F1HdKPM/wBMO9qOqfFT+mHe1b1T4r1C4WondKMPRmghTdfc6+4ZACAN+eJWtCKMENyVoKVFVwqKEqbCirkJ/nz0lECo8KUmMkLuHn4eKXqDz4Jqo7CISzz5+qzsogdIY8yitTGPMuLT6dewWfIOiMByIzUKjkORGYFJrYGFojELzFhqllmpkRjUDcdj6xaeeCvU0hiF5WyU5oCk9lZpBJkU3kgioXNIwg6it/oWk3ZHJdaNDhTwpZhFy9vm8R0YLerW1jazKTpBqBxafy8S7gTqJnDkXmKDoc57zUe8gNngXNAaJMBoB1kk4rdtlKlUeXFx9QswBEXix4eMJDmlgIV/UuLSFxpmjZKoe1rxIDgHCc4InFBsekRULOI9nCMvsLrpDgIkAtJggEGCpY2tp02svzdaGyRiYESdSHo+yNp8HNYv4NhZTF0NAGAJMZugATy4LOkigzbLYKZa0tLi69HGY0C7EyXkDWExOE7p7JSlsoNqFjm1GtLb0XqYqAhwEy08iY4VsReBJEEwRqjJPR1gLBpFtWQGlpDWPxLHC6+buLCQDxTgcV2rbrtQUgxznXWvMFohrnFsgOILoukmMhyhUstClTMtIH4bKZEQDwd6HGB63GIVNIWdtVzZqgNaWkt4MOIc03g6m/Om44AnHAYQupWcO2mqWMc66XXQSQCAYAkkXiArWSrfY110tvAEBxBMHKbpIVK1VjmuaXYOBHMRGClKqxrWtDvVaADGwQDCBx2y21tR1RrQZpmJMQ7MXmbW3mvbysKrVtzGVadF03qgcWmOIC0tEOOom8I2pPR+j6NJzXMe+Qwsdec91+SHEkEw03gTxY9Yo1soUqjrznfkdTgSPWcx14HMOBYCCho4as9QPY17ZAcA4TgYOOO9I2XSQqXOI5nCNvsLrsOAxI4pMOAIMGExYnsp02U79640NvEQXQIkgCATuSdksjWXL1Yv4JpbTBYGhoIAkwJc6BE7zglctHIbqVgHNbrdejZxRJlL2y3Npuph0/iOuAxxWmJl2wTAnaQuVnMLmuvYtvYR+oQZS9r4N5beMgXhd1OD23SDzKLkh0hihaA8XhIEubjnLHFp7Qh0LffMBjrpLmh/FglhIOE3g2QQDGPQlbBdpMawVC+CTed6xLnF2MDPFK0rKwVGO4UXWPc5jbgvAvDgW8Jnc45MRsxwUXJbHSNeqBG9KvKNUKWe5QbHSO0nY8yilJpmd21cWz0/gTnycoZBHagUcgjsU2tgoOAj0yhMCOwKkUASfg4jejUnKltbDgdo7l2kV0VTOHWvRKbxMSJGqcQDtCBTWW6q/wC9P4MiZoUy2JJaLznk7AGvmdsBXTAlZ6Gmcc1hjT3Gqy0AU6j2TOEMPrHYmtE2l77wfEsLqbiBAL2uPGG4suHlK8npD+3bv8tdacKUnsnkuJ6Olp9rwS0tdGd1wMdBWpSeS1p2gHpErxJqsfXpupFroD+EezEXCMGlwwJv3SB+0r0Gla9ynZ+MGguaHE1DSbHAvIBeMRiAeZNmxqK0LCTZsAq0pezPBa0ggiAZDr4OGpx9bl1rK0FaZLm8JwhDGkvFQva6SRJaRNGodbMsNyytlTdvKB061n8M7hy2Td4IGNV6+4E8sJHTFqDXQ6oWN4NxZ+JwIc8HEGptDYIBzk4GEthNtzt6HwiVp1S6k12PGph+OBxbPGjXisjRdpqzSp1C5x4EvvH84PB3XHY8S4Hp1qUnoZI3KrknUqIrKmeEpapjhrWWUx0irqqG6qhPfBgoDqqm5FVEdNWQgPcl6dXGFHuUnINDdnqEnPCPiFEtY38Y8h7wuL0PTeBDJ5DVLJHplLNd8UemU1bOH6JTNNJ2cpymnQjB2+nxZ2H6JSmVquZII2iFjtwMHUYXSWzlvQ7TciOEgiS2dbYkckhAouTAKZMVl6LAAAMvHEknbKw/Qzg6oW1gA+o6pBpzBccpvLdalqhxKrGbXArVmadFVPbt/wDF/wDS0ad4Na0lpgBpN0iYwGE4Kt9VvpcmVtbCo0FvO2t6D4qFztreg9uOaEHLt5Z3MokWLnbR0HxVCXft6Dn0qEqhKRzGo66o/aOg+KC+q45kRuC69yA56nKQyOuqwg8KuPKWe6FCbKJErunlSbnoznJesNajZRHOFhGdVlIlyLTdgikFoesDuPzHvCiHo71/9T3hRen6ZewyZfIbY74pim5IMf3nvTNJyb5Go0qDsQn6ayaTlqWcyAihGOMWZpSldeHand4z+C02Ktus1+mQMxxhyjUqSVoRcmZQdim2rMouIhaTSpJhmqDNSlpwcm2pbSDcA7mTWIL3lW8qErjipzYUEvKwKDKK1Z5SKpllUqxKq4qbmMBeEJ4R3IbwpSyDIVqJWqm6oS9UKUsg8RMuhUcjPahSlTsewD6etSnmilDAgq0DmxzR3r/6nvCi7o/1/wDU94UXq+n8DLl8gV/E8p70zSes5z+M73nd5TNnf585BdRRo1qLvOpaVkq6liU6nnzqTtnqefiiI0b1NyapFZ9B84pym5PGRJox9LUODfI9V2I3HWExZ3S0FaVtsoq0y3XmDsIyWBZq5ZII4wMRsOsKGX/zdvgZe5V8moxctFO8wjn5wqUK17z0p+yjjTqQxyU+BJKjLsljDmSbwMovo5sZu7E/UEOIQ3ZcitKCoVMx7ZQDHQJ9UHHlPgqomlTxx7re9yXB4y8/NpspFhZxXA7FC4SATKGy0tjOJWKUyqTDzKG5cNUADjDpQqlcAKLmOkytXNBqhSpUKHfOaW2x0qBPCWcMU055QSMVWAShGCqRIXS7CJE7Jg61fnWqCFbC6P8AX/1PeFFewjjZ/lPeFF6uDwM83sxqruO73nd5TFKp585pGu7jv953eUSk/wA+ckS5r0annx8FoUHefiVjWeoPOXNtK0aD489pXCNG5YqmratOi5YNnd586lr2apeE6+9H+yTNKi5Z2mbDiKoG50fy5k7ScmWmRCMoqceliW07Rh2ZgbgNes7VtU3SAckmbEGmc26hs5eRMMfqKlhh29AeztqbhOzuSYqDEJ4LOr04cRzhUm2LRj6VrAVGj9re9yXZWEuKmlmzVZ7o/wCSQqhwY4tznoG1eZm5ZaCTaQxarUAA0YknIJF9SXXYgDNJ0rO4vLyYa0Yk5rrtItc0toy8uMScIGuFj6HetnodKSpGjQeXY6kVtPXqQ7HSMAX5IGIHxToM4LPJ09CPXIC5rKo7cjPOMTzJapWwlsuExhnnB6FyTYnUVdyJerU1CC7O6TGCNUBMgnikapBG3FDIyxJjWc1pxxADpjlx1HGOQohG5Ded6uTvWyERGNaPzy1HvCi5o88bPUe8KL08C9pCfJ5q0P8AxH++7+RXab0G0n8R/vv/AJFQOSvk1o0KT/OvmTlC0xhq7B4lY7Xedf0R6do2/QeKNAaPT2W0DCOg5n6LVstbWOfwC8fQrRlj3nwC2LFbd/gOTegn8EpRPX0nzijsqrAsukATdyOzWtWlUlc3ukScaNJgDhuStVhafOI+iNRqJhzA4QVboU465JPQo13aqWilfG+MPBWDLpunVlvCI0qVfYeTyVrYTUaY/KB2lI07W1r2NhxmbxaJDeU7V6TStjc9xc0wA1t4QcfWxkFJcCQIDWxh6pg8sHPpWLLidtDxdbPNaV0Y95Dov0zBuB8ZYy4dClGykm+QGMGDWN7TvyXoHUgSS0w+cjgQNeCTtDTJJyGA3lZJY5JV8GhZld1sTptumBg49gRqZBFzt2wh1AdRx1nYqB0jA8pWeWOgqfXyNPAmRnEShnDJdpVZB3eZVHO2FcoHA6hQCUR+vFCJO1accDmwZO5Wa7DJCL8SNY8yFag2C7E44xOE7lsjHQjHdFPk4tgwcM9YyUXdHetzHvCi24vEjPk8paT+I/33/wAioxypa3jhKmP53/yKqx4SM2jbEUMHJ3BL0yjtJG9cAOyg78pnsJRuHI9YEHVsQWPGOMRrVq1UmAcQBJHxKDAkPWO0Y4n/AGXo9GaQMcbLUdi8zZ2SW3W+t+bUFsaMsUes7GcROEakEn8CZaPZWTHGeZOtcs2zPgARhCeomRK1wVaMkglanI3jJADBgZTF9Cc4ZHI96aSixALAL7uRv/JKWqwxi3LZsVqtW49xJwhuPO7NHo2gHYZ35qEumWmMYlopaiI7CN4OpJ1RkHY/pOXTv716O0UQRu1HWPosK30okEYZHx+Ky5cVDJmPaGXcDlnniUoXbcBsTtYSDkXNxvHZGEedRWZUzvdpWZ47GTphOEg3jgEYu2JV5BnXgrUKmEHV5CSMKZd8WWLtyHESruKE8q0YilXFSk7FVK5TOKskE0dGeufdPeFFNGeufd+IUWrEvaSlyeMt5/Eqf5H/AMilS5M28/iVP8j/AORSbilNRdr96PTruGTj0pQFEYNgPQuORq0ba/XjygI1mtkkkgbMtWxZ1Om7YUaz0XGHSABtKWQ0Tes2kSWC6A0NMbMAt3RFvBeSG4ERezB8IIC8rSpuPGLmcHGOcz0LS0dRMEXrjLwLcczuk5FctE5RR7elbAcJkg5DFaral0QvIaPeL7fymTnEuAG/4LffXGcqyn7WzNKND766453FM6sfj0rKNbBu8zr+K16RBbA1iPryKPp8inNpi5IuK0Z1LSYNQsJZeuiWB2MA4mI/cFLRYXMN+lhrLNXMu2P7K0adZ9oH9x4gklxABILrjSYZJAmM4WpahAI2wteTHGUPdyTTp6F7LXDhPYdR1ghLaVsUi80TqIzw3bU/Z6QI+Ovn2q72kAz0qKg3GmO3s8BXfDhylpnZqw5QOlZNpMEiCcZ3Y44L2enNGNqBzhxX4GdRjb0DELxulbM9lQte0gkCATxTjm061k6aY5x1QR4INGpxlyqTlsS7Xm8EiiaUtD7qio5yCXKpcqJCUFc9cpvxCCXqUn8YJqDRtaMPHPJ8Qoq6I9Y8h7wotOLxJTWzylsaOEqe+/8AkUC6NgTFrP4j/ff/ACKEVFrZrRxvIERr1Qqjq4H0XB0Osdu87Vem4zECMj8Cs02sjLDtI8Qg8KdZcRlA36h3hCgG+LS0YOu8HGIzzwOW9cs1vbiXODmhzbmq7gYGGqAsdgiGhsg5zv8AIPOnbM3jes25BAZGN6HEQjoB6CwW19+mXkkk3RdmBPGxgY6jj0r1V4nHzuC8PTaIMSHO4wnHI5bp4o5yvSaP0oKrBBBOWeM68skVVUyU18jZq8XDFzHTGIw15ahh0rZ0Nao2mRM4dC8+WuYb7c8iNo2AbEbR9tYKgc10NkSxx9WcM8thWCd4sikjpLqie34Xd2hZVvtZLgAMtpSVp+0VGmTeeDH6TPcsyjaTUIe+BIDrjTJN7EAnVsWzJ6lzSjH5M+PH8nqrA43ReidcZc0p2cFj2Ssfp5yTxtIAxwWzG6iJKOxbSNlkcXAktEasSJ7JWdbrODLajAW7CO0FapfLhrDeMeU4N7C49Cj3g4EAjeoZYJ8DxbWjwmkfs4c6Jvfsccf9XZFebqMc191zS0jUcCvqNewtPqmN2Y+izrVYg7CqwOAyJx6HDELJ7o8miM1R4Nz1QuXo7Z9mgcaT4/a/EcxHxCw7Xo2vT9amY/UOM3sVIyTGVCznK1F2PMl76PZDiSnDRu6Iz5j3hcVtFjEe78QotGLxIT5PJ2w/iP8Aff8AyKBeKYtY/Ef77/5FAUjUCe1CLfP0TLmrgp+Y8F1nCwb5+urnRGUXTsHnV53I7Kccvd0wURK2FIlFgaSRiVaq8Xf0kmRhhOorLL6gc6ZjGNm6EFr610zM6pz3wgO4f2ejbbC/9JIwgHIxjPSj2Gq6k6+BIPrDXO0bBjkNkLA0dfAk4HGd41ArcoVQ4A4jDI5jlRbonXwessukWVGzIMjkzGR/TyJfSVjDmOIGOGN28MxkJxK8oS5pvNN0zkCIzEiNWUYBaNn0xVEAtkxm2TOB27wOlSnDqF6Po0bbYHVRxqtZ2wOqNnUfVaIGWS2dG2UMA3ADE9OK84NPnW155gNQPj0b0Y6WqOwDY3k+dXbKEIUxXF8HsDbWtEygG2E8Y8jW658615qz2gzJN53dq5BOxMvt7WgOPGa680lpgjcAcudaVkJvGbL7fcBF5wfM7nTmeQZcy7T00RnDuwryT7eTEuJgQJOQ2d6H99Qk7GWPR7qnpimcyW8vinKNoBEgg8hlfPPvc70Zts2FLRzxnuqlFrtx3eCXdZ3DIz3ryjNMVBk8947Uwz7R1BmGnmjuU5Y7AoSRqWuw03f3KTSdpEHpCTb9n6B9W82dhkdq437TD81M8xnvT1n0pRcQIcDnkk6ZLgbaKU9ChhkPkREEcngonDa6Zyd2FdWvG30kJ3Z8xtQ/Ef77u8peE1aB+I/33fyKDCQ2lLq6Bh9CrELnnHHsXBog84kf8lyofOK7Pn6DLnVT8EAMWqBcaJKO9q41kLgUWbhyKtUjniJ1xsXZ1oa4YaoWt8weNhnMYj9oOtM/fWaxE/qDgSRmEhT8/wDWRXXugeHghRw2y1szv4dx2cqYFubhg47QcOSNRWLfRw7uXUAfOknQIwc10gjKNQIQhaSSScziUjVKoKq440TVVTW/6QA5Q9q4Iyyt0ogtCRDlLyIB77wVPvCTvrl5A4fpVSXBbNgqySdgjpWDY5gnoW1YmwyduKAGadjqy88h7wol9HO/EPunvCi0YvEz5Fs85XH4jv8AI7vKAhWu3xUeLuVR+vY4jYgffv29v0UepGxY5Dr/AInJV2/D4lKO0gT+XXOf0UFu/b2967qQe3IZH/UZcw+JXXDz5z+JSn339vbq2Lv379vbsy1IdSB25DZHnzz9ChCTNt/buz5tnmVz76dnahaO7chir58+daER58UM2v8Ab2+dq5953dqNo7tyGW5ee3xXKmXnsKAbX+3tVXWidXagmg9uRZGZkErw25WbaY1IuSAscg1UYIUKG1ft7VUV93auUkDtyGaI1IiTFo3dqsbXu7ULQe3IZIXJS/3rd2rhtW7tRUkd25DGSsynJgJX71uRKFuu43ZPL9F3Uju3I2KbcmjcFtlkADYIXlaGmbrg40wY1XvomnfaYn/8h1j4IWgPFI9Fo8fiH3T3hdWToHTJqVS3gwOI4+tsc0bN6i043cTPlg1LZ5m3f3av+Sp/NyCta2aGtBqVCKRgveRxqeRcSPzIPoS0eyPWp/MsrjK+DfGca5X5M9RaHoS0eyPWp/Mp6EtHsj1qfzIdMvobuR+1+TPTVgptN+YLgwmmHEAOdLZGOBN28QDmQjehLR7I9an8ynoS0eyPWp/Miov6A5xa8l+Qr9HhzHPvsDwGRTbdEl2YOMBw1wqv0YwXiawgBpaQBxwWuLgJODgWkQc+cKnoO0exPWp/Mp6DtHsT1qfzI0/4iWv5L9Eo06bKzWuxY4AOLgOLwrRDhBzYXA/6lNVLJSJYA5gvt4N12IZUog8I8bA4tbBnG+Ur6DtHsT1qfzKeg7R7E9an8yNP6Obj/I6dGjHjHd6okEEh2eAwHSjv0OyJFXbhdF4C9DTE4yMxmN8pcaEtPsj16fzKDQlp9kevT+ZFf6sVt/zX6ON0dg4l4wcA0NxvC9DiDqgYjaiu0YzjRVJAmHXQAYDiJEyMmjdJ2Yj9CWj2J61P5lPQdo9ievT+ZD/lhv8AzX6DWzR4uscIbFBjiBEudedexnO6OwLlCz0mVnNf+JTDCXHAGHAQ5sH1myDyghDdoa0nE0ics30zlgPzagueg7R7E9an8y538RCmqpyX6GK2j6fBsAc1xa6pfewgmpDqYDmgkcUS6OQlT7syo2n6lOad8uAaONwpYAccOKQeZLHQdo9ietT+Zd9CWj2J61P5l2/o61XkHp6IYRJqXTMFvFJGDNYMfnPVWba6IY9zQbwGvbgCmvQdo9j/AO1P5l30JaPZHrU/mQaf0FSSe5Iz1FoehLR7I9an8ynoS0eyPWp/Ml6ZfQ/cj9r8meotD0JaPZHrU/mU9CWj2R61P5l3TL6O7kftfkZ+yn98/wCN38mKJv7NaLrsrEupkDg3CbzDiXMOo7iotWJVHZh9RJOemf/Z",ID,Intuitive Design,2005,en,ID53,1,
9780241976630,How to Speak Machine,Laws of Design for a Digital Age,John Maeda,Penguin Business,https://m.media-amazon.com/images/I/91Fdbxa3PML._AC_UY436_FMwebp_QL65_.jpg,ID,Design law,2019,en,ID54,1,
9783897738379,Street Art in Berlin,,"Kai Jacob,Jaron Verlag",Jarun Verlag,https://m.media-amazon.com/images/I/61lTawDITfL._AC_UY436_FMwebp_QL65_.jpg,ID,Street Art,2018,de,ID55,1,
9781568989693,Thinking with Type,"A Critical Guide for Designers, Writers, Editors and Students",Ellen Lupton,Princeton Architectural Press,https://m.media-amazon.com/images/I/71wE+2WB-VL._AC_UY436_FMwebp_QL65_.jpg,ID,Type,2010,en,ID56,1,
9781138629660,Storytelling for Virtual Reality,Methods and Principles for Crafting Immersive Narratives,John Bucher,Routledge,https://m.media-amazon.com/images/I/719AQX89psL._AC_UY436_FMwebp_QL65_.jpg,ID,VR Storytelling,2018,en,ID57,1,
9781558608481,Texturing & Modeling,A Procedural Approach,David S. Ebert et al,Morgan Kaufmann,https://m.media-amazon.com/images/I/51iLNw7vS9L._AC_UY436_FMwebp_QL65_.jpg,ID,"Texturing, Modeling",2003,en,ID58,1,
9788797129302,The Copenhagen Catalog,150 Principles for a New Direction in Tech,Thomas Madsen-Mygdal,Techfestival,,ID,Tech Principles,2018,en,ID59,1,
9783981387117,Bildbearbeitungsfibel 1,,Wolfgang Pfaffe,Pixelteacher Verlag,https://m.media-amazon.com/images/I/41TocvgDMkL._AC_UY436_FMwebp_QL65_.jpg,ID,Bildbearbeitung,2013,de,ID60,1,
9780770433079,Understanding Composition,Field Guide,Bryan Peterson,Amphoto Books,https://m.media-amazon.com/images/I/91qx6iu-igL._AC_UY436_FMwebp_QL65_.jpg,ID,Photography,2012,en,ID61,1,
9781592537853,Grids and Page Layouts,An Essential Guide for Understanding & Applying Page Design Principles,Amy Graver & Ben Jura,Quato Publishing Group USA Inc,https://m.media-amazon.com/images/I/817G26--leL._AC_UY436_FMwebp_QL65_.jpg,ID,Design/Page Design,2012,en,ID62,1,
9780124079144,Designing with the Mind in Mind,Simple Guide Understanding User Interface Design Guidelines,Jeff Johnson,Morgan Kaufmann,https://m.media-amazon.com/images/I/61sNbGyDHNL._AC_UY436_FMwebp_QL65_.jpg,ID,User Interface Design,2014,en,ID63,1,
9780123944436,Learning Processing,"A Beginner's Guide to Programming Images, Animation and Interaction",Daniel Shiffman,Morgan Kaufmann,https://m.media-amazon.com/images/I/51zL+rDpchL._AC_UY436_FMwebp_QL65_.jpg,ID,Programmable Design,2015,en,ID64,1,
9781138959187,The Darkroom Cookbook,,Steve Anchell,Routledge,https://m.media-amazon.com/images/I/61yj-63LMeL._AC_UY436_FMwebp_QL65_.jpg,ID,Analogue Photography,2016,en,ID65,1,
9780134094236,Practical Augmented reality,"A guide to the technologies, applications, and human factors for AR and VR",Steve Aukstakalnis,Addison-Wesley,"https://images-na.ssl-images-amazon.com/images/I/41ylWPe9KwL._SX386_BO1,204,203,200_.jpg",ID,User Interface Design/Virtual Reality,2017,en,ID66,1,
9783836572675,Web Design,The Evolution of the Digital World 1990-Today,Rob Ford & Julius Wiedemann,TASCHEN GmbH,"https://images-na.ssl-images-amazon.com/images/I/51FfWr3tc9L._SX389_BO1,204,203,200_.jpg",ID,"Web Design History
",2019,en,ID67,1,
9780993540004,book of ideas,A journal of creative direction and graphic design: Volume 1,Radim Malinic,Brand Nu,"https://images-na.ssl-images-amazon.com/images/I/41Yhv7Y52bL._SX350_BO1,204,203,200_.jpg",ID,Design,2019,en,ID68,1,
9780993540011,book of ideas,A journal of creative direction and graphic design: Volume 2,Radim Malinic,Brand Nu,https://m.media-amazon.com/images/I/61g7W74kDrL._AC_UY436_FMwebp_QL65_.jpg,ID,Design,2019,en,ID69,1,
9780321815385,A project guide to UX Design,For user experience designers in the field or in the making: Second Edition,Russ Unger and Carolyn Chandler,New Riders,https://m.media-amazon.com/images/I/71voNrL5h9L._AC_UY436_FMwebp_QL65_.jpg,ID,Web Design / Development,2012,en,ID70,1,
9781780675626,Creating a Brand Identity,A Guide for Designers,Catherine Slade-Brooking,Laurence King Publishing,https://m.media-amazon.com/images/I/31UDi6AbF1L._AC_UY436_FMwebp_QL65_.jpg,ID,Brand Design,2016,en,ID71,1,
9780500518960,Branding,In five and a half steps,Michael Johnson,Thames & Hudson,https://m.media-amazon.com/images/I/61+rGIhZm4L._AC_UY436_FMwebp_QL65_.jpg,ID,Brand Design,2019,en,ID73,1,
9781473630833,The secret lives of Colour,,Kassia St Clair,John Murray,"https://images-na.ssl-images-amazon.com/images/I/51GEGreB9RL._SX332_BO1,204,203,200_.jpg",ID,Colour,2018,en,ID74,1,
9780230249882,Research Methods and Statistics,,Ian Walker,Palgrave Macmillan,https://m.media-amazon.com/images/I/61Bti8wErcL._AC_UY436_FMwebp_QL65_.jpg,ID,Research Methods/Statistics,2010,en,ID75,1,
9781484225790,Bottlenecks,Aligning UX Design with User Psychology,David C. Evans,Apress,https://m.media-amazon.com/images/I/61CQZnd1cTL._AC_UY436_FMwebp_QL65_.jpg,ID,Web Design/General,2017,en,ID76,1,
9781933820323,Designing Interface Animation,Meaningful Motion for User Experience,Val Head,Rosenfeld,https://m.media-amazon.com/images/I/71jl356NPJL._AC_UY436_FMwebp_QL65_.jpg,ID,Animation/Design,2016,en,ID77,1,
9780133890334,The best Interface is no Interface,The Simple Path to Brilliant Technology,Golden Krishna,New Riders,"https://images-na.ssl-images-amazon.com/images/I/21RA2-qTqvL._SX331_BO1,204,203,200_.jpg",ID,Usability,2015,en,ID78,1,
9780123969804,UI is Communication,"How to design intuitive, user-centered interfaces by forcing on effective communication",Everett N. McKay,Morgan Kaufmann,https://m.media-amazon.com/images/I/51hRXL2pprL._AC_UY436_FMwebp_QL65_.jpg,ID,User Experience/User Interface,2013,en,ID79,1,
9781631590405,The pocket Universal Principles of Design,"150 Essential Tools for Architects, Artists, Designers, Developers, Engineers, Inventors, and Makers","William Lidwell, Kritina Holden, Jill Butler",RockPort,https://m.media-amazon.com/images/I/91G07VaMIHL._AC_UY436_FMwebp_QL65_.jpg,ID,Design,2015,en,ID80,1,
9781930824133,The Visual Display of Quantitative Information,Second Edition,Edward R. Tufte,Graphics Press LLC,https://m.media-amazon.com/images/I/11BW80CDQRL._AC_UY218_ML3_.jpg,ID,Quantitative Information/Infographics/Graphics,2001,en,ID81,1,
9781090532084,Ruined by Design,"High Designers Destroyed the World, and What We Can Do to Fix it",Mike Monteiro,Independently published,"https://images-na.ssl-images-amazon.com/images/I/41tzcmt86YL._SX331_BO1,204,203,200_.jpg",ID,Work & Industrial Revolution,2019,en,ID82,1,