ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity 
9780141049113,You Are Not a Gadget,A Manifesto,Jaron Lanier,Vintage,"https://images-na.ssl-images-amazon.com/images/I/41IarMBrfPL._SX324_BO1,204,203,200_.jpg",STS,Technology,2011,en,STS01,1
9780241957219,Who Owns the Future?,,Jaron Lanier,Simon and Schuster,"https://images-na.ssl-images-amazon.com/images/I/51mLWF8%2BuyL._SX324_BO1,204,203,200_.jpg",STS,Technology,2014,en,STS02,1
9781847923523,Dawn of The New Everything,A Journey Through Virtual Reality,Jaron Lanier,Random House,https://images-na.ssl-images-amazon.com/images/I/91JdsauEtLL.jpg,STS,Social Science,2017,en,STS03,1
9780262540674,What Computers Still Cannot Do,A Critique of Artificial Reasons,Hubert L. Dreyfus,MIT Press,https://mitpress.mit.edu/sites/default/files/styles/large_book_cover/http/mitp-content-server.mit.edu%3A18180/books/covers/cover/%3Fcollid%3Dbooks_covers_0%26isbn%3D9780262540674%26type%3D.jpg?itok=ivxJB1NC,STS,Artificial Intelligence,1992,en,STS04,1
9780465093656,Alone Together,Why We Expect More from Technology and Less from Each Other,Sherry Turkle,Hachette UK,"https://images-na.ssl-images-amazon.com/images/I/51GLXo7EelL._SX332_BO1,204,203,200_.jpg",STS,Psychology,2017,en,STS05,1
9780684833484,Life on Screen,Identity in the Age of the Internet,Sherry Turkle,Simon and Schuster,https://images-na.ssl-images-amazon.com/images/I/81iYVOjEpRL.jpg,STS,Science,1997,en,STS06,1
9780143109792,Reclaiming Conversation,The Power of Talk in a Digital Age,Sherry Turkle,Penguin,http://www.reclaimingconversationbook.com/wp-content/uploads/2015/06/Jacket-for-Reclaiming-Conversation.jpg,STS,Social Science,2016,en,STS07,1
9780262516778,Evocative Objects,Things We Think With,Sherry Turkle,MIT Press,"https://images-na.ssl-images-amazon.com/images/I/51c1JPPMN1L._SX334_BO1,204,203,200_.jpg",STS,Social Science,2011,en,STS08,1
9780262701112,The Second Self,Computers an the Human Spirit,Sherry Turkle,MIT Press,https://mitpress.mit.edu/sites/default/files/styles/large_book_cover/http/mitp-content-server.mit.edu%3A18180/books/covers/cover/%3Fcollid%3Dbooks_covers_0%26isbn%3D9780262701112%26type%3D.jpg?itok=DlD8idEU,STS,Psychology,2005,en,STS09,1
978046503142,CODE,"And Other Laws of Cyberspace, Version 2.0",Lawrence Lessig,Basic Books,https://images-eu.ssl-images-amazon.com/images/I/61-JEGAMzhL.jpg,STS,Computing/Law/Current Events,2006,en,STS10,1
9780375726446,The Future of Ideas,The fate of the commons in a connected world,Lawrence Lessig,Vintage,https://m.media-amazon.com/images/I/71f+sEHP2cL._AC_UY436_FMwebp_QL65_.jpg,STS,Technology/Law,2001,en,STS11,1
9781092270915,Free Culture,How big media uses technology and the law to lock down culture and control creativity,Lawrence Lessig,Penguin Press HC,"https://images-na.ssl-images-amazon.com/images/I/514%2BDi5TQ2L._SX326_BO1,204,203,200_.jpg",STS,IT and Society,2006,en,STS12,1
9780143116134,Remix,Making Art and Commerce thrive in the Hybrid Economy,Lawrence Lessig,Penguin Books,https://images-na.ssl-images-amazon.com/images/I/71GA4Co7RlL.jpg,STS,Economics,2009,en,STS13,1
9781784784966,The Boy Who Could Change the World,,Lawrence Lessig,Bookbright Media,https://zdnet4.cbsistatic.com/hub/i/r/2016/03/01/62b9b7c7-1be0-4635-9c6a-f51257d19889/thumbnail/770x578/47608f639c7ada3c28902dd90f1774ba/swartz-book-thumb.jpg,STS,Biography,2016,en,STS14,1
9780062515872,Weaving the Web,The Original Design and Ultimate Destiny of The World Wide Web,Tim Berners-Lee,HarperBusiness,"https://images-na.ssl-images-amazon.com/images/I/511kcv3KjrL._SX327_BO1,204,203,200_.jpg",STS,E-Commerce,2000,en,STS15,1
9780596001087,The Cathetral & the Bazaar,Musings on Linux and Open Source by an Accidental Revolutionary ,Eric S. Raymond,O'Reilly Media,https://images-na.ssl-images-amazon.com/images/I/51rW7lsLAVL.jpg,STS,Computers,2001,en,STS16,1
9780066620732,Just for Fun,The Story of an Accidental Revolutionary ,Linus Torwalds,HarperBusiness,"https://images-na.ssl-images-amazon.com/images/I/41xNrr2ihFL._SX330_BO1,204,203,200_.jpg",STS,Biography,2002,en,STS17,1
*0716704633,Computer Power and Human Reason,From Judgment to Calculation,Joseph Weizenbaum,FREEMAN and Company,https://m.media-amazon.com/images/I/51z+F5Rqq5L._AC_UY436_FMwebp_QL65_.jpg,STS,Philosophy/Computer Science,1976,en,STS18,1
9781634000000,Islands in the Cyberstream,Seeking Havens of Reason in a Programmed Society,"Joseph Weizenbaum, Gunna Wendt",Litwin Books,https://litwinbooks.com/wp-content/uploads/2018/11/Islands-in-the-Cyberstream-Seeking-Havens-of-Reason-in-a-Programmed-Society-195x300.jpg,STS,Social Science,2015,en,STS19,1
9780306803208,The Human Use of Human Beings,Cybernetics and Society ,Norbert Wiener,Hachette UK,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwivxO29l5PjAhWEbVAKHTSFDdYQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.com%2FHuman-Use-Beings-Cybernetics-Society%2Fdp%2F0306803208&psig=AOvVaw2z1Ngy3xdc00MSyNyMv4kk&ust=1562052046865836,STS,Computers,1988,en,STS20,1
9781882114986,"Free Software, Free Society",Selected essay of Richard M. Stallman,Richard M. Stallman,GNU Press,https://m.media-amazon.com/images/I/51fgPvci7CL._AC_UY436_FMwebp_QL65_.jpg,STS,Ethics/Law/Computer Software,2002,en,STS21,1
9780415253970,Understanding Media,,Marshall McLuhan,Routledge,https://m.media-amazon.com/images/I/919hiDxPoML._AC_UY436_FMwebp_QL65_.jpg,STS,Media/Information Theory,2001,en,STS22,1
9780226066233,Holding on to Reality,The Nature of Information at the Turn of the Millennium,Albert Borgmann,University of Chicago Press,"https://images-na.ssl-images-amazon.com/images/I/41r4CEtWOxL._SX331_BO1,204,203,200_.jpg",STS,Technology,2000,en,STS23,1
9780932633422,The Psychology of Computer Programming,,Gerald M. Weinberg,Dorset House,"https://images-na.ssl-images-amazon.com/images/I/518B8Q32VVL._SX327_BO1,204,203,200_.jpg",STS,Programming,1998,en,STS24,1
9780201835953,The Mythical Man-Month,Essays on Software Engineering,Frederick P. Brooks Jr.,Pearson Education,https://images-na.ssl-images-amazon.com/images/I/51WIpM70FEL.jpg,STS,Software Engineer,1995,en,STS25,1
9780201362985,The Design of Design,essays from computer scientist,Frederick Brooks,Addison Wesley,https://m.media-amazon.com/images/I/51XIhubapBL._AC_UY436_FMwebp_QL65_.jpg,STS,Computer Software Analysis/Design,2010,en,STS26,1
9780872203495,Plato Complete Works,,Plato,Hackett Publishing,"https://images-na.ssl-images-amazon.com/images/I/51MzSp6UPlL._SX331_BO1,204,203,200_.jpg",STS,Philosophy,1997,en,STS27,1
9780226405971,The Imperative of Responsibility,In Search for an Ethics for the Technological age,Hans Jonas,University of Chicago Press,"https://images-na.ssl-images-amazon.com/images/I/418ZHPXxwYL._SX324_BO1,204,203,200_.jpg",STS,Philosophy,1985,en,STS28,1
9780268037048,"Objective Idealism, Ethics, and Politics",,Vittorio Hösle,University of Notre Dame Press,,STS,Philosophy,1998,en,STS29,1
9780268030650,Morals and Politics,,Vittorio Hösle,University of Norte Dame Press,https://m.media-amazon.com/images/I/61cKxFuFEsL._AC_UY436_FMwebp_QL65_.jpg,STS,Philosophy,2004,en,STS30,1
9781107641143,Kant: Groundwork of the Metaphysics of Morals,A Critical Guide,Gregor/Timmerman/Korsgaard (transl.),Cambridge University Press,https://assets.thalia.media/img/36263607-00-00.jpg,STS,Philosophy,2013,en,STS31,1
9781107467057,Critique of Practical Reason,,Immanuel Kant,Cambridge University Press,"https://images-na.ssl-images-amazon.com/images/I/31SObU4N64L._SX331_BO1,204,203,200_.jpg",STS,Philosophy,2015,en,STS32,1
9780521657297,Critique of Pure Reason,,Immanuel Kant,Cambridge University Press,https://images-na.ssl-images-amazon.com/images/I/61wMzlVtcJL.jpg,STS,Philosophy,1999,en,STS33,1
9780199552467,Critique of Judgement,,Immanuel Kant,Oxford University Press,https://blackwells.co.uk/jacket/l/9780199552467.jpg,STS,Philosophy,2018,en,STS34,1
9780521398374,Political Writings,,Immanuel Kant,Cambridge University Press,"https://images-na.ssl-images-amazon.com/images/I/51GthmvousL._SX317_BO1,204,203,200_.jpg",STS,Political Science,1991,en,STS35,1
9781107086395,The Metaphysics of Morals,,Immanuel Kant,Cambridge University Press,"https://images-na.ssl-images-amazon.com/images/I/31AISyLBWTL._SX331_BO1,204,203,200_.jpg",STS,Philosophy,2017,en,STS36,1
9781624661174,Nikomachean Ethics,,Aristotle,Hackett Publishing Co,https://cdn.waterstones.com/bookjackets/large/9781/6246/9781624661174.jpg,STS,Philosophy,2014,en,STS37,1
9780415278485,Being and Nothingness,,Jean-PaulSartre,Routledge,"https://images-na.ssl-images-amazon.com/images/I/318LfoXM6CL._SX314_BO1,204,203,200_.jpg",STS,Philosophy,2003,en,STS38,1
9781107534193,Dilemmas,,Gilbert Ryle,Cambridge University Press,"https://images-na.ssl-images-amazon.com/images/I/61XQuBocckL._SX328_BO1,204,203,200_.jpg",STS,Philosophy,2015,en,STS39,1
9780674017726,A Theory of Justice,,John Rawls,Harvard University Press,"https://images-na.ssl-images-amazon.com/images/I/51UE32zAcgL._SX331_BO1,204,203,200_.jpg",STS,Philosophy,2005,en,STS40,1
9783150083482,Leviathan,,Thomas Hobbes,Cambridge University Press,"https://images-na.ssl-images-amazon.com/images/I/41LULT0WOEL._SX317_BO1,204,203,200_.jpg",STS,Philosophy,2017,en,STS41,1
9780465081899,Spheres of Justice,A Defense of Pularism and Equality,Michael Walzer,Basic Books,"https://images-na.ssl-images-amazon.com/images/I/51Eop%2B89vNL._SX331_BO1,204,203,200_.jpg",STS,Philosophy,1984,en,STS42,1
9780226151311,The Major Political Writings of Jean-Jacques Rousseau,,"Jean-Jacques Rousseau, John Scott",University of Chicago Press,"https://images-na.ssl-images-amazon.com/images/I/41HiYHmW3cL._SX331_BO1,204,203,200_.jpg",STS,Philosophy,2014,en,STS43,1
9781847923868,Illuminations,Essays and Reflections,Walter Benjamin,Penguin Random House,https://cdn2.penguin.com.au/covers/original/9781847923868.jpg,STS,Philosophy,2015,en,STS44,1
9789872207806,Readings in Classical Chinese Philosophy,,Van Norden/Ivanhoe,Hackett Publishing Co,https://m.media-amazon.com/images/I/717xR3zUVEL._AC_UY436_FMwebp_QL65_.jpg,STS,Philosophy,2001,en,STS45,1
9780415289771,The One-Dimensional Man,,Herbert Marcuse,Routlege Classiccs,https://images.tandf.co.uk/common/jackets/agentjpg/978041528/9780415289771.jpg,STS,Political Science,2002,en,STS46,1
9781784786793,Dialectics of Enlightenment,,"Max Horkheimer, Theodor W. Adorno, Gunzelin Noeri",Verso,https://cdn-ed.versobooks.com/images/000011/507/Dialectic-of-Enlightenment-front-1050-3b60fddebe32ee0679e180dfe91630b9.jpg,STS,Social Science,2012,en,STS47,1
9781555581237,The Unix Philosophy,,Mike Gancarz,Digital Press,"https://images-na.ssl-images-amazon.com/images/I/41a-xGhPJIL._SX331_BO1,204,203,200_.jpg",STS,Computers,1994,en,STS48,1
9780521636452,The Gay Science,With a Prelude in German Rhymes and an Appendix of Songs,"Friedrich Nietzsche, Bernard Williams, Josefine Nauckhoff",Cambridge University Press,https://assets.cambridge.org/97805216/36452/cover/9780521636452.jpg,STS,Philosophy,2001,en,STS49,1
9781521847107,Beyond Good and Evil,,Friedrich Nietzsche,,,STS,Philosophy,1886,en,STS50,1
9780415254083,Tractatus Logico-Philosophicus,,Ludwig Wittgenstein,Routledge,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4152/9780415254083.jpg,STS,Philosophy,2001,en,STS51,1
9781405159296,Philosophical Investigations,,Ludwig Wittgenstein,John Wiley & Sons,"https://images-na.ssl-images-amazon.com/images/I/41IhsTqZh6L._SX340_BO1,204,203,200_.jpg",STS,Philosophy,2009,en,STS52,1
9780521888981,The Cambridge Handbook of Information and Computer Ethics,,Luciano Floridi,Cambridge University Press,"https://images-na.ssl-images-amazon.com/images/I/51nmKwZcwAL._SX348_BO1,204,203,200_.jpg",STS,Philosophy,2010,en,STS53,1
9780471799597,The Handbook of Information and Computer Ethics,,Himma/Tavani,Wiley-Interscience,https://m.media-amazon.com/images/I/61h72QVZXzL._AC_UY436_FMwebp_QL65_.jpg,STS,Philosophy/Ethics/Technology,2008,en,STS54,1
9780062290700,The Question Concerning Technology and Other Essays,,Martin Heidegger,Harper Collins,https://i.harperapps.com/covers/9780062290700/x510.jpg,STS,Philosophy,2013,en,STS55,1
